modality,study,phase,class_id,class,gt_present,pred_present,dice,hd95_mm,nsd2mm,gt_vox,pred_vox,spacing,set
FLAIR,ReMIND-032-post,postop,1,tumor,1,1,0.0,42.865008737970534,0.0,13367,139,"0.8594,0.8379,1.9501",GAN-cut-2D-FLAIR
FLAIR,ReMIND-032-post,postop,2,cavity,1,0,0.0,nan,nan,6211,0,"0.8594,0.8379,1.9501",GAN-cut-2D-FLAIR
FLAIR,ReMIND-032-post,postop,lesion,lesion,1,1,0.0,42.00321578771787,0.0,19578,139,"0.8594,0.8379,1.9501",GAN-cut-2D-FLAIR
FLAIR,ReMIND-032-pre,preop,1,tumor,1,1,0.14055237993482558,27.980655532818723,0.19783288650580877,32911,4527,"0.8208,0.8169,1.9763",GAN-cut-2D-FLAIR
FLAIR,ReMIND-032-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.8208,0.8169,1.9763",GAN-cut-2D-FLAIR
FLAIR,ReMIND-032-pre,preop,lesion,lesion,1,1,0.14055237993482558,27.980655532818723,0.19783288650580877,32911,4527,"0.8208,0.8169,1.9763",GAN-cut-2D-FLAIR
FLAIR,ReMIND-045-pre,preop,1,tumor,1,1,0.7096568428059017,2.494926247994868,0.6878916304828268,123470,92874,"0.2608,0.2430,0.9600",GAN-cut-2D-FLAIR
FLAIR,ReMIND-045-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.2608,0.2430,0.9600",GAN-cut-2D-FLAIR
FLAIR,ReMIND-045-pre,preop,lesion,lesion,1,1,0.7096568428059017,2.494926247994868,0.6878916304828268,123470,92874,"0.2608,0.2430,0.9600",GAN-cut-2D-FLAIR
FLAIR,ReMIND-056-post,postop,1,tumor,0,1,nan,nan,nan,0,32,"0.8539,0.8523,1.9741",GAN-cut-2D-FLAIR
FLAIR,ReMIND-056-post,postop,2,cavity,1,0,0.0,nan,nan,17551,0,"0.8539,0.8523,1.9741",GAN-cut-2D-FLAIR
