phase,roi,dilation_mm,comparison,metric,n,mean_A,mean_B,stat,p
all,lesion,0.0,ResViT-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.09848215074558966,0.10499907631036795,89.0,0.5705966949462891
all,lesion,0.0,pix2pix-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7205380490867574,0.7566241829868274,8.0,4.76837158203125e-05
all,lesion,0.0,pix2pix-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.05763650492123,15.36103028228957,19.0,0.0005855560302734375
all,lesion,0.0,pix2pix-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10094078959434274,0.10499907631036795,73.0,0.24548721313476562
all,lesion,0.0,CUT-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.713194060227291,0.7566241829868274,4.0,1.33514404296875e-05
all,lesion,0.0,CUT-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.3432876346407,15.36103028228957,24.0,0.0014324188232421875
all,lesion,0.0,CUT-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.095366826587714,0.10499907631036795,62.0,0.11398696899414062
all,lesion,0.0,SynDiff-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7120496697702907,0.7566241829868274,28.0,0.002712249755859375
all,lesion,0.0,SynDiff-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.877711266346532,15.36103028228957,30.0,0.00365447998046875
all,lesion,0.0,SynDiff-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10579290828271326,0.10499907631036795,103.0,0.956329345703125
all,lesion,0.0,SynDiff-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7104951808768819,0.7566241829868274,16.0,0.0003223419189453125
all,lesion,0.0,SynDiff-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.562686169656143,15.36103028228957,7.0,3.62396240234375e-05
