comparison,metric,n,mean_A,mean_B,stat,p,note
ResViT-2D+3D-refine-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,15.162804906120146,14.961754186515428,201.0,0.5291051845997572,
ResViT-2D+3D-refine-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.189516024665893,0.2446324750940813,5.0,1.862645149230957e-08,
ResViT-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7080702007492069,0.8138262320340097,7.0,3.5390257835388184e-08,
ResViT-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.753239322402084,14.961754186515428,171.0,0.2129328530281782,
ResViT-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.1655223016429766,0.2446324750940813,1.0,3.725290298461914e-09,
ResViT-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.713752986917946,0.8083387407697126,2.0,5.7220458984375e-06,
ResViT-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,15.303423035228,14.850157568116362,53.0,0.0531692504882812,
ResViT-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2093472717288136,0.2515127677885552,16.0,0.0003223419189453,
ResViT-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7290507166131313,0.8083387407697126,6.0,2.6702880859375e-05,
ResViT-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,15.38805403054025,14.850157568116362,25.0,0.0016899108886718,
ResViT-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2050703470258882,0.2515127677885552,20.0,0.0007076263427734,
ResViT-2D+3D-refine-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7296722722435484,0.8083387407697126,7.0,3.62396240234375e-05,
ResViT-2D+3D-refine-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,15.356608433027688,14.850157568116362,44.0,0.021484375,
ResViT-2D+3D-refine-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2295709413922984,0.2515127677885552,61.0,0.1053981781005859,
ResViT-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7006552607213625,0.8083387407697126,0.0,1.9073486328125e-06,
ResViT-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.812716210194187,14.850157568116362,96.0,0.7561664581298828,
ResViT-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.1666895222823874,0.2515127677885552,1.0,3.814697265625e-06,
SynDiff-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7263469218132582,0.8138262320340097,22.0,9.98377799987793e-07,
SynDiff-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.66929180616923,14.961754186515428,100.0,0.0053827799856662,
SynDiff-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.187595822059723,0.2446324750940813,8.0,4.6566128730773926e-08,
SynDiff-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7262477833896621,0.8138262320340097,22.0,9.98377799987793e-07,
SynDiff-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.626533139216692,14.961754186515428,99.0,0.0050126127898693,
SynDiff-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.1857300764535434,0.2446324750940813,7.0,3.5390257835388184e-08,
SynDiff-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.6978028718553778,0.8138262320340097,3.0,9.313225746154784e-09,
SynDiff-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.136080038907789,14.961754186515428,45.0,3.049522638320923e-05,
SynDiff-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2144135550372353,0.2446324750940813,55.0,9.90256667137146e-05,
SynDiff-3D+3D-refine-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7068451612993459,0.8138262320340097,9.0,6.146728992462158e-08,
SynDiff-3D+3D-refine-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.94632271283085,14.961754186515428,198.0,0.4898460879921913,
SynDiff-3D+3D-refine-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.208157383009672,0.2446324750940813,49.0,4.968419671058655e-05,
SynDiff-ResViT->SynDiff-cascade-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7279616396488316,0.8138262320340097,20.0,6.910413503646851e-07,
SynDiff-ResViT->SynDiff-cascade-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,15.29353611563259,14.961754186515428,124.0,0.0247860513627529,
SynDiff-ResViT->SynDiff-cascade-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.1801703968102657,0.2446324750940813,9.0,6.146728992462158e-08,
SynDiff-ResViT+SynDiff-joint-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7189347567768422,0.8138262320340097,15.0,2.551823854446411e-07,
SynDiff-ResViT+SynDiff-joint-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,15.196329345559024,14.961754186515428,161.0,0.1459994912147522,
SynDiff-ResViT+SynDiff-joint-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.1671358723852102,0.2446324750940813,1.0,3.725290298461914e-09,
SynDiff-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7064429005783311,0.8083387407697126,1.0,3.814697265625e-06,
SynDiff-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.315040759026935,14.850157568116362,41.0,0.0153121948242187,
SynDiff-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2057838282478946,0.2515127677885552,10.0,8.20159912109375e-05,
SynDiff-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7075978223456472,0.8083387407697126,2.0,5.7220458984375e-06,
SynDiff-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.419401881110169,14.850157568116362,40.0,0.0136165618896484,
SynDiff-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.1958951733132696,0.2515127677885552,6.0,2.6702880859375e-05,
SynDiff-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.699053395766662,0.8083387407697126,0.0,1.9073486328125e-06,
SynDiff-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.2833342250003,14.850157568116362,20.0,0.0007076263427734,
SynDiff-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2287476619504627,0.2515127677885552,54.0,0.058258056640625,
SynDiff-3D+3D-refine-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.6837034391063754,0.8083387407697126,0.0,1.9073486328125e-06,
SynDiff-3D+3D-refine-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.025245743968942,14.850157568116362,31.0,0.004220962524414,
